TransactionID,Date,Hour,TransactionType,Amount,CardType,Location,Num_Transactions_Day,Account_Age_Years,Failed_Attempts,Distance_From_Home_km,Is_Fraud
TXN000001,2024-11-14,6,Online Purchase,206.15,Credit,Domestic,8,12.62,0,9.67,0
TXN000002,2024-11-15,14,Online Purchase,90.39,Credit,Domestic,0,10.73,0,60.29,0
TXN000003,2024-11-21,7,POS Payment,195.08,Debit,Domestic,5,12.94,0,27.3,0
TXN000004,2024-08-01,2,ATM Withdrawal,187.83,Debit,Domestic,0,3.17,0,16.97,1
TXN000005,2024-12-28,10,International,105.01,Debit,Domestic,4,4.37,0,116.5,0
TXN000006,2024-11-04,19,Online Purchase,453.28,Credit,International,2,6.68,0,0.3,0
TXN000007,2024-07-20,17,Bank Transfer,207.22,Debit,Domestic,5,7.9,0,25.95,0
TXN000008,2024-11-17,14,Online Purchase,110.97,Debit,Domestic,1,3.86,0,17.87,0
TXN000009,2024-08-10,9,Online Purchase,745.97,Debit,Domestic,1,5.78,1,2.8,0
TXN000010,2024-08-12,2,Bank Transfer,476.26,Credit,Domestic,2,10.34,0,4.19,0
TXN000011,2024-09-04,14,Bank Transfer,1022.65,Credit,Domestic,4,9.72,0,9.45,0
TXN000012,2024-03-28,22,POS Payment,304.6,Debit,Domestic,1,1.75,1,35.16,0
TXN000013,2024-10-26,5,Online Purchase,128.79,Debit,Domestic,2,14.79,0,16.61,0
TXN000014,2024-02-09,10,ATM Withdrawal,92.43,Debit,Domestic,5,8.48,2,90.96,0
TXN000015,2024-11-17,10,ATM Withdrawal,282.15,Debit,Domestic,5,7.31,0,13.72,0
TXN000016,2024-10-08,18,International,998.43,Debit,International,4,14.51,0,63.69,0
TXN000017,2024-03-05,22,Online Purchase,256.35,Debit,Domestic,1,2.19,0,11.81,0
TXN000018,2024-02-15,2,Online Purchase,543.45,Debit,Domestic,3,8.2,0,2.17,0
TXN000019,2024-04-22,12,ATM Withdrawal,109.79,Credit,Domestic,4,12.1,1,15.37,0
TXN000020,2024-06-24,21,Bank Transfer,140.62,Credit,Domestic,2,6.04,2,90.87,0
TXN000021,2024-08-29,7,Online Purchase,601.85,Debit,Domestic,2,11.07,0,4.29,0
TXN000022,2024-08-28,20,International,363.54,Debit,International,2,13.5,0,21.12,0
TXN000023,2024-07-30,10,Online Purchase,1006.29,Credit,Domestic,2,4.0,0,0.4,0
TXN000024,2024-01-05,10,POS Payment,382.65,Debit,Domestic,2,3.7,0,49.75,0
TXN000025,2024-04-07,12,Online Purchase,158.79,Debit,Domestic,4,5.47,0,143.02,0
TXN000026,2024-04-30,2,Bank Transfer,199.32,Credit,Domestic,1,6.33,0,24.26,0
TXN000027,2024-05-11,5,International,586.94,Credit,Domestic,2,1.75,0,43.01,0
TXN000028,2024-11-22,23,Online Purchase,210.54,Debit,Domestic,5,3.55,0,30.1,0
TXN000029,2024-01-27,9,International,83.73,Credit,Domestic,5,13.11,0,181.21,0
TXN000030,2024-05-08,18,ATM Withdrawal,153.01,Debit,International,3,8.54,0,66.59,0
TXN000031,2024-05-07,11,International,191.58,Credit,Domestic,1,4.09,0,2.26,1
TXN000032,2024-12-11,13,Bank Transfer,35.43,Debit,International,3,14.16,0,5.76,0
TXN000033,2024-06-17,10,Online Purchase,13587.37,Debit,Domestic,2,11.64,0,31.79,0
TXN000034,2024-01-04,20,Online Purchase,38.95,Credit,Domestic,1,5.5,0,49.95,0
TXN000035,2024-05-16,9,Online Purchase,139.76,Credit,Domestic,3,11.51,0,17.15,0
TXN000036,2024-05-29,2,Online Purchase,7340.29,Debit,Domestic,7,8.98,0,56.14,1
TXN000037,2024-07-20,12,Online Purchase,167.58,Debit,Domestic,3,10.29,0,42.96,0
TXN000038,2024-08-09,17,Online Purchase,471.31,Credit,Domestic,3,4.89,0,28.55,0
TXN000039,2024-09-10,12,ATM Withdrawal,114.59,Credit,Domestic,5,3.22,0,43.65,0
TXN000040,2024-08-26,23,POS Payment,800.37,Credit,Domestic,3,3.88,0,124.12,0
TXN000041,2024-07-25,13,Online Purchase,68.76,Credit,Domestic,1,1.35,0,13.93,0
TXN000042,2024-03-29,13,Online Purchase,19.75,Credit,International,5,7.12,2,78.32,0
TXN000043,2024-09-05,6,Bank Transfer,524.77,Debit,Domestic,2,6.15,0,0.6,0
TXN000044,2024-04-24,11,Online Purchase,358.79,Credit,Domestic,1,0.14,0,4.43,0
TXN000045,2024-09-26,3,Online Purchase,75.99,Debit,International,4,12.86,0,149.47,0
TXN000046,2024-06-27,15,Online Purchase,1055.66,Debit,Domestic,3,10.26,0,59.82,0
TXN000047,2024-12-27,18,International,184.43,Credit,Domestic,2,6.76,0,50.16,0
TXN000048,2024-01-10,9,POS Payment,764.32,Debit,Domestic,4,14.51,0,20.33,0
TXN000049,2024-03-04,15,ATM Withdrawal,185.81,Debit,International,0,14.11,0,10.19,0
TXN000050,2024-02-22,4,Bank Transfer,169.61,Credit,Domestic,2,1.52,0,23.9,0
TXN000051,2024-05-08,15,ATM Withdrawal,159.07,Credit,Domestic,3,9.27,0,45.61,0
TXN000052,2024-05-23,0,Bank Transfer,111.95,Credit,Domestic,3,12.27,0,50.31,0
TXN000053,2024-03-06,4,Bank Transfer,200.73,Credit,International,2,2.68,0,9.29,0
TXN000054,2024-08-25,12,Bank Transfer,160.62,Credit,International,3,2.01,1,29.48,0
TXN000055,2024-01-02,12,Online Purchase,19.36,Debit,Domestic,3,3.97,0,41.82,0
TXN000056,2024-05-10,2,Online Purchase,85.42,Credit,International,3,4.27,0,160.89,1
TXN000057,2024-10-01,16,ATM Withdrawal,69.92,Debit,Domestic,2,14.48,1,39.86,0
TXN000058,2024-12-15,18,POS Payment,515.17,Credit,Domestic,1,11.73,0,43.45,0
TXN000059,2024-12-24,4,Bank Transfer,238.37,Debit,International,6,0.99,0,72.45,0
TXN000060,2024-03-04,4,POS Payment,370.65,Debit,Domestic,3,11.82,1,27.14,0
TXN000061,2024-10-29,14,International,795.63,Debit,Domestic,1,2.63,0,24.21,1
TXN000062,2024-03-11,9,Online Purchase,268.23,Credit,Domestic,3,5.42,0,44.69,0
TXN000063,2024-04-29,11,Bank Transfer,1022.96,Credit,Domestic,5,4.85,0,76.46,0
TXN000064,2024-06-11,23,Bank Transfer,103.41,Debit,International,0,4.16,0,50.75,0
TXN000065,2024-11-05,10,International,61.53,Debit,International,3,4.7,0,10.3,0
TXN000066,2024-12-10,0,International,139.09,Debit,Domestic,5,11.34,0,25.35,0
TXN000067,2024-08-03,22,Bank Transfer,3455.0,Credit,International,2,4.07,0,35.93,0
TXN000068,2024-04-14,20,Online Purchase,574.31,Debit,Domestic,5,12.03,0,37.09,0
TXN000069,2024-08-10,2,POS Payment,215.21,Debit,Domestic,5,1.46,0,20.75,0
TXN000070,2024-05-15,3,Online Purchase,96.39,Debit,Domestic,1,8.97,0,36.95,0
TXN000071,2024-02-23,18,POS Payment,349.31,Credit,Domestic,3,12.96,0,55.89,0
TXN000072,2024-06-24,23,International,186.22,Debit,Domestic,3,1.28,0,31.55,0
TXN000073,2024-08-13,19,ATM Withdrawal,54.22,Credit,Domestic,2,9.56,2,30.01,0
TXN000074,2024-04-02,2,Bank Transfer,224.99,Debit,Domestic,7,7.72,0,80.87,0
TXN000075,2024-07-24,17,ATM Withdrawal,615.89,Debit,Domestic,7,5.05,0,70.7,0
TXN000076,2024-08-20,2,ATM Withdrawal,472.28,Credit,Domestic,2,1.6,0,27.44,0
TXN000077,2024-06-28,6,Online Purchase,230.96,Debit,Domestic,1,10.18,0,276.24,0
TXN000078,2024-04-15,21,POS Payment,4284.13,Credit,Domestic,3,4.71,0,3.44,0
TXN000079,2024-11-18,20,International,32.75,Debit,Domestic,2,5.15,0,19.73,0
TXN000080,2024-04-06,23,International,168.55,Credit,Domestic,7,10.79,0,1.88,0
